n_bits,n_tries
8,12
8,31
8,14
8,20
8,2
8,16
8,19
8,20
8,6
8,13
8,12
8,5
8,6
8,16
8,23
8,12
8,20
8,10
8,20
8,4
8,5
8,14
8,25
8,15
8,15
8,17
8,26
8,21
8,30
8,8
8,13
8,11
8,21
8,13
8,26
8,11
8,5
8,16
8,17
8,23
8,10
8,15
8,5
8,1
8,15
8,24
8,11
8,5
8,22
8,12
10,20
10,30
10,34
10,19
10,45
10,20
10,41
10,8
10,26
10,10
10,11
10,6
10,21
10,13
10,27
10,17
10,35
10,23
10,45
10,34
10,21
10,66
10,40
10,24
10,19
10,18
10,6
10,20
10,29
10,44
10,35
10,50
10,40
10,9
10,27
10,31
10,15
10,38
10,33
10,26
10,48
10,58
10,13
10,37
10,37
10,32
10,18
10,15
10,8
10,26
12,68
12,76
12,57
12,48
12,74
12,65
12,108
12,95
12,58
12,87
12,79
12,48
12,68
12,58
12,54
12,48
12,41
12,134
12,40
12,21
12,36
12,18
12,102
12,42
12,91
12,60
12,72
12,29
12,69
12,30
12,55
12,16
12,85
12,27
12,51
12,91
12,80
12,47
12,18
12,77
12,50
12,40
12,39
12,56
12,42
12,36
12,80
12,35
12,47
12,60
14,121
14,124
14,11
14,82
14,81
14,60
14,117
14,206
14,152
14,169
14,154
14,87
14,67
14,126
14,45
14,87
14,97
14,46
14,190
14,40
14,58
14,102
14,104
14,114
14,22
14,157
14,97
14,138
14,101
14,82
14,32
14,58
14,71
14,147
14,49
14,137
14,81
14,93
14,138
14,115
14,90
14,106
14,26
14,270
14,92
14,83
14,18
14,109
14,180
14,76
16,302
16,36
16,202
16,70
16,158
16,111
16,113
16,71
16,40
16,57
16,237
16,186
16,69
16,402
16,255
16,188
16,211
16,152
16,84
16,163
16,234
16,241
16,221
16,327
16,148
16,271
16,283
16,267
16,269
16,49
16,181
16,113
16,258
16,159
16,209
16,206
16,261
16,335
16,268
16,94
16,62
16,164
16,301
16,115
16,60
16,355
16,261
16,159
16,43
16,153
18,553
18,191
18,341
18,276
18,951
18,249
18,369
18,598
18,320
18,247
18,574
18,541
18,225
18,171
18,718
18,635
18,216
18,79
18,530
18,616
18,432
18,351
18,385
18,354
18,605
18,336
18,316
18,243
18,301
18,73
18,708
18,749
18,692
18,432
18,571
18,322
18,24
18,324
18,636
18,548
18,296
18,370
18,672
18,188
18,378
18,77
18,302
18,454
18,607
18,422
20,1329
20,959
20,389
20,1030
20,501
20,734
20,859
20,485
20,712
20,2276
20,1116
20,1183
20,355
20,113
20,151
20,754
20,1495
20,381
20,1608
20,1156
20,1751
20,745
20,1324
20,446
20,875
20,1523
20,1290
20,1005
20,484
20,775
20,1519
20,718
20,1039
20,1908
20,976
20,66
20,762
20,1032
20,1063
20,1694
20,1250
20,510
20,311
20,533
20,2248
20,973
20,606
20,1115
20,443
20,1540
22,712
22,1610
22,1877
22,1692
22,1170
22,523
22,313
22,1604
22,1247
22,2914
22,2982
22,1518
22,2258
22,4015
22,774
22,1295
22,1206
22,2295
22,2332
22,2958
22,1700
22,1771
22,1671
22,2878
22,1432
22,1412
22,1424
22,1253
22,2272
22,533
22,2108
22,654
22,2325
22,2059
22,850
22,2379
22,1118
22,3090
22,1671
22,2673
22,1813
22,2541
22,4405
22,1551
22,1561
22,3307
22,667
22,811
22,3328
22,1214
