n_bits,n_tries
8,94
8,275
8,42
8,2
8,73
8,63
8,9
8,44
8,104
8,45
8,20
8,524
8,235
8,48
8,101
8,75
8,381
8,35
8,173
8,78
8,230
8,1
8,79
8,406
8,55
8,164
8,3
8,62
8,272
8,98
8,153
8,7
8,2
8,43
8,4
8,212
8,58
8,19
8,114
8,228
8,78
8,46
8,87
8,127
8,103
8,45
8,241
8,166
8,21
8,112
10,800
10,784
10,403
10,541
10,990
10,104
10,595
10,564
10,221
10,2308
10,336
10,16
10,167
10,1544
10,1695
10,279
10,189
10,1465
10,366
10,170
10,239
10,51
10,488
10,436
10,409
10,721
10,286
10,934
10,165
10,528
10,533
10,55
10,128
10,915
10,328
10,445
10,44
10,284
10,226
10,40
10,75
10,776
10,1253
10,1023
10,541
10,420
10,437
10,852
10,201
10,260
12,4531
12,609
12,3399
12,1627
12,1548
12,1790
12,116
12,2269
12,2887
12,9271
12,1564
12,498
12,1740
12,1015
12,8261
12,2912
12,2896
12,2771
12,505
12,2545
12,2009
12,1961
12,917
12,552
12,1058
12,3151
12,1092
12,301
12,1551
12,276
12,3310
12,1064
12,2581
12,894
12,3736
12,4450
12,3036
12,567
12,2207
12,4617
12,243
12,3231
12,1151
12,1506
12,236
12,2688
12,668
12,1873
12,3198
12,1009
14,1976
14,2308
14,5226
14,864
14,21497
14,3538
14,6874
14,3738
14,19080
14,8479
14,2622
14,1073
14,5681
14,916
14,87
14,21783
14,2847
14,10089
14,12748
14,16289
14,999
14,3144
14,11487
14,165
14,19276
14,23574
14,10444
14,1171
14,11727
14,4452
14,23134
14,45126
14,9525
14,9161
14,6358
14,4517
14,7416
14,1301
14,14504
14,10177
14,1900
14,8582
14,3727
14,4150
14,24190
14,16971
14,14477
14,10256
14,9336
14,8626
16,1269
16,75664
16,116702
16,17490
16,48431
16,8977
16,40364
16,20641
16,52059
16,34461
16,8657
16,107606
16,15567
16,3801
16,8019
16,35652
16,37995
16,35948
16,14312
16,23668
16,30740
16,6099
16,29991
16,58002
16,17280
16,18158
16,24608
16,4360
16,26854
16,754
16,152548
16,14603
16,18122
16,38439
16,35227
16,39121
16,33638
16,40463
16,17692
16,34854
16,37439
16,33550
16,37668
16,10737
16,74305
16,36609
16,49561
16,14960
16,43259
16,3455
18,96568
18,542246
18,108086
18,19105
18,15365
18,193969
18,28154
18,120034
18,18390
18,15865
18,107037
18,7645
18,47207
18,181881
18,71948
18,147827
18,16120
18,269715
18,55640
18,68225
18,44412
18,102141
18,21103
18,132004
18,140265
18,683823
18,46597
18,32620
18,54898
18,170199
18,159127
18,65798
18,53462
18,147499
18,85732
18,1451
18,10196
18,63400
18,59655
18,220196
18,117175
18,196382
18,55074
18,456678
18,28173
18,77495
18,79839
18,7580
18,148185
18,27848
20,780065
20,183507
20,304652
20,1562475
20,946980
20,1048949
20,791063
20,399009
20,197002
20,21981
20,111526
20,566189
20,118330
20,562112
20,199461
20,66263
20,24910
20,840234
20,113675
20,66289
20,336690
20,713799
20,766822
20,12934
20,154609
20,144336
20,1000873
20,649075
20,25123
20,173193
20,516418
20,1135883
20,212091
20,530077
20,1243046
20,200445
20,122534
20,133284
20,12931
20,695162
20,268944
20,1049625
20,1266271
20,804840
20,313740
20,428717
20,163848
20,42648
20,1315064
20,1080034
22,1446703
22,3071220
22,37261
22,4218503
22,510298
22,2745577
22,675226
22,480527
22,3003756
22,2302118
22,2455748
22,41434
22,1633334
22,802795
22,451025
22,77459
22,783
22,1245081
22,1396506
22,2407910
22,480919
22,3574294
22,2275506
22,5176571
22,5562151
22,2486466
22,733934
22,2202203
22,2061125
22,933302
22,1697722
22,3947194
22,7078925
22,195805
22,976293
22,648722
22,255218
22,197161
22,5704978
22,4118164
22,1929916
22,2066082
22,3446791
22,7807949
22,612693
22,354052
22,4776111
22,219398
22,1381167
22,602402
